"","type","method1","method2","distance"
"1","IMPACT","classic","area",0.297222058823529
"2","OCCURRENCE","classic","area",0.322166176470588
"3","IMPACT","area","center",0.114105882352941
"4","OCCURRENCE","area","center",0.0777411764705882
"5","IMPACT","classic","center",0.314873529411765
"6","OCCURRENCE","classic","center",0.335111764705882
"7","IMPACT","area","centertogrid",0.231133823529412
"8","OCCURRENCE","area","centertogrid",0.210577941176471
"9","IMPACT","center","centertogrid",0.239920588235294
"10","OCCURRENCE","center","centertogrid",0.222907352941176
"11","IMPACT","classic","centertogrid",0.135376470588235
"12","OCCURRENCE","classic","centertogrid",0.175932352941176
"13","IMPACT","area","pooling",0.586529411764706
"14","OCCURRENCE","area","pooling",0.746766176470588
"15","IMPACT","center","pooling",0.562204411764706
"16","OCCURRENCE","center","pooling",0.753298529411765
"17","IMPACT","centertogrid","pooling",0.594747058823529
"18","OCCURRENCE","centertogrid","pooling",0.757986764705882
"19","IMPACT","classic","pooling",0.655964705882353
"20","OCCURRENCE","classic","pooling",0.736388235294118
"21","IMPACT","reachedgrid","pooling",0.601302941176471
"22","OCCURRENCE","reachedgrid","pooling",0.742357352941176
"23","IMPACT","weighted","pooling",0.570401470588235
"24","OCCURRENCE","weighted","pooling",0.748983823529412
"25","IMPACT","area","reachedgrid",0.182973529411765
"26","OCCURRENCE","area","reachedgrid",0.181919117647059
"27","IMPACT","center","reachedgrid",0.2283
"28","OCCURRENCE","center","reachedgrid",0.195597058823529
"29","IMPACT","centertogrid","reachedgrid",0.0867
"30","OCCURRENCE","centertogrid","reachedgrid",0.0522705882352941
"31","IMPACT","classic","reachedgrid",0.150247058823529
"32","OCCURRENCE","classic","reachedgrid",0.172147058823529
"33","IMPACT","area","weighted",0.0391323529411765
"34","OCCURRENCE","area","weighted",0.0160132352941176
"35","IMPACT","center","weighted",0.082125
"36","OCCURRENCE","center","weighted",0.0684911764705882
"37","IMPACT","centertogrid","weighted",0.214236764705882
"38","OCCURRENCE","centertogrid","weighted",0.209836764705882
"39","IMPACT","classic","weighted",0.298638235294118
"40","OCCURRENCE","classic","weighted",0.324901470588235
"41","IMPACT","reachedgrid","weighted",0.191698529411765
"42","OCCURRENCE","reachedgrid","weighted",0.181241176470588
