"","type","method1","method2","distance"
"1","IMPACT","classic","area",0.297222058823529
"2","OCCURRENCE","classic","area",0.322166176470588
"3","IMPACT","area","center",0.114105882352941
"4","OCCURRENCE","area","center",0.0777411764705882
"5","IMPACT","classic","center",0.314873529411765
"6","OCCURRENCE","classic","center",0.335111764705882
"7","IMPACT","area","centertogrid",0.231133823529412
"8","OCCURRENCE","area","centertogrid",0.210577941176471
"9","IMPACT","center","centertogrid",0.239920588235294
"10","OCCURRENCE","center","centertogrid",0.222907352941176
"11","IMPACT","classic","centertogrid",0.135376470588235
"12","OCCURRENCE","classic","centertogrid",0.175932352941176
"13","IMPACT","area","pooling",0.597608823529412
"14","OCCURRENCE","area","pooling",0.570167647058824
"15","IMPACT","center","pooling",0.574235294117647
"16","OCCURRENCE","center","pooling",0.5678
"17","IMPACT","centertogrid","pooling",0.601748529411765
"18","OCCURRENCE","centertogrid","pooling",0.615311764705882
"19","IMPACT","classic","pooling",0.662964705882353
"20","OCCURRENCE","classic","pooling",0.678705882352941
"21","IMPACT","reachedgrid","pooling",0.608305882352941
"22","OCCURRENCE","reachedgrid","pooling",0.605995588235294
"23","IMPACT","weighted","pooling",0.581875
"24","OCCURRENCE","weighted","pooling",0.570439705882353
"25","IMPACT","area","reachedgrid",0.182973529411765
"26","OCCURRENCE","area","reachedgrid",0.181919117647059
"27","IMPACT","center","reachedgrid",0.2283
"28","OCCURRENCE","center","reachedgrid",0.195597058823529
"29","IMPACT","centertogrid","reachedgrid",0.0867
"30","OCCURRENCE","centertogrid","reachedgrid",0.0522705882352941
"31","IMPACT","classic","reachedgrid",0.150247058823529
"32","OCCURRENCE","classic","reachedgrid",0.172147058823529
"33","IMPACT","area","weighted",0.0391323529411765
"34","OCCURRENCE","area","weighted",0.0160117647058824
"35","IMPACT","center","weighted",0.0821397058823529
"36","OCCURRENCE","center","weighted",0.0684779411764706
"37","IMPACT","centertogrid","weighted",0.214204411764706
"38","OCCURRENCE","centertogrid","weighted",0.209836764705882
"39","IMPACT","classic","weighted",0.298672058823529
"40","OCCURRENCE","classic","weighted",0.324944117647059
"41","IMPACT","reachedgrid","weighted",0.191705882352941
"42","OCCURRENCE","reachedgrid","weighted",0.181219117647059
