"","type","method1","method2","distance"
"1","IMPACT","classic","area",25.6319
"2","OCCURRENCE","classic","area",28.2847
"3","IMPACT","area","center",10.0601
"4","OCCURRENCE","area","center",7.0385
"5","IMPACT","classic","center",26.6861
"6","OCCURRENCE","classic","center",28.584
"7","IMPACT","area","centertogrid",20.4022
"8","OCCURRENCE","area","centertogrid",18.7086
"9","IMPACT","center","centertogrid",21.4197
"10","OCCURRENCE","center","centertogrid",19.6824
"11","IMPACT","classic","centertogrid",11.3421
"12","OCCURRENCE","classic","centertogrid",15.5213
"13","IMPACT","area","pooling",51.6743
"14","OCCURRENCE","area","pooling",49.4259
"15","IMPACT","center","pooling",49.5244
"16","OCCURRENCE","center","pooling",48.5277
"17","IMPACT","centertogrid","pooling",52.0553
"18","OCCURRENCE","centertogrid","pooling",52.4845
"19","IMPACT","classic","pooling",57.5826
"20","OCCURRENCE","classic","pooling",59.0279
"21","IMPACT","reachedgrid","pooling",53.4548
"22","OCCURRENCE","reachedgrid","pooling",52.5471
"23","IMPACT","weighted","pooling",50.269
"24","OCCURRENCE","weighted","pooling",49.1826
"25","IMPACT","area","reachedgrid",15.9315
"26","OCCURRENCE","area","reachedgrid",15.6565
"27","IMPACT","center","reachedgrid",20.1464
"28","OCCURRENCE","center","reachedgrid",17.0931
"29","IMPACT","centertogrid","reachedgrid",7.5905
"30","OCCURRENCE","centertogrid","reachedgrid",5.0161
"31","IMPACT","classic","reachedgrid",12.6678
"32","OCCURRENCE","classic","reachedgrid",15.3225
"33","IMPACT","area","weighted",3.5413
"34","OCCURRENCE","area","weighted",1.585
"35","IMPACT","center","weighted",7.1374
"36","OCCURRENCE","center","weighted",6.0992
"37","IMPACT","centertogrid","weighted",18.9569
"38","OCCURRENCE","centertogrid","weighted",18.4878
"39","IMPACT","classic","weighted",25.3044
"40","OCCURRENCE","classic","weighted",28.1356
"41","IMPACT","reachedgrid","weighted",16.999
"42","OCCURRENCE","reachedgrid","weighted",15.6449
