"","type","method1","method2","distance"
"1","IMPACT","classic","area",20.2111
"2","OCCURRENCE","classic","area",21.9073
"3","IMPACT","area","center",7.7592
"4","OCCURRENCE","area","center",5.2864
"5","IMPACT","classic","center",21.4114
"6","OCCURRENCE","classic","center",22.7876
"7","IMPACT","area","centertogrid",15.7171
"8","OCCURRENCE","area","centertogrid",14.3193
"9","IMPACT","center","centertogrid",16.3146
"10","OCCURRENCE","center","centertogrid",15.1577
"11","IMPACT","classic","centertogrid",9.2056
"12","OCCURRENCE","classic","centertogrid",11.9634
"13","IMPACT","area","pooling",39.884
"14","OCCURRENCE","area","pooling",50.7801
"15","IMPACT","center","pooling",38.2299
"16","OCCURRENCE","center","pooling",51.2243
"17","IMPACT","centertogrid","pooling",40.4428
"18","OCCURRENCE","centertogrid","pooling",51.5431
"19","IMPACT","classic","pooling",44.6056
"20","OCCURRENCE","classic","pooling",50.0744
"21","IMPACT","reachedgrid","pooling",40.8886
"22","OCCURRENCE","reachedgrid","pooling",50.4803
"23","IMPACT","weighted","pooling",38.7873
"24","OCCURRENCE","weighted","pooling",50.9309
"25","IMPACT","area","reachedgrid",12.4422
"26","OCCURRENCE","area","reachedgrid",12.3705
"27","IMPACT","center","reachedgrid",15.5244
"28","OCCURRENCE","center","reachedgrid",13.3006
"29","IMPACT","centertogrid","reachedgrid",5.8956
"30","OCCURRENCE","centertogrid","reachedgrid",3.5544
"31","IMPACT","classic","reachedgrid",10.2168
"32","OCCURRENCE","classic","reachedgrid",11.706
"33","IMPACT","area","weighted",2.661
"34","OCCURRENCE","area","weighted",1.0889
"35","IMPACT","center","weighted",5.5845
"36","OCCURRENCE","center","weighted",4.6574
"37","IMPACT","centertogrid","weighted",14.5681
"38","OCCURRENCE","centertogrid","weighted",14.2689
"39","IMPACT","classic","weighted",20.3074
"40","OCCURRENCE","classic","weighted",22.0933
"41","IMPACT","reachedgrid","weighted",13.0355
"42","OCCURRENCE","reachedgrid","weighted",12.3244
