"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","area",0.3761,0
"2","281","OCCURRENCE","classic","area",0.3274,0
"3","281","IMPACT","classic","center",0.4286,0
"4","281","OCCURRENCE","classic","center",0.3286,6e-04
"5","281","IMPACT","classic","centertogrid",0.2143,0.0172
"6","281","OCCURRENCE","classic","centertogrid",0.1857,0.0557
"7","281","IMPACT","classic","reachedgrid",0.2068,0.0332
"8","281","OCCURRENCE","classic","reachedgrid",0.2094,0.008
"9","281","IMPACT","classic","weighted",0.3969,0
"10","281","OCCURRENCE","classic","weighted",0.3348,0
"11","281","IMPACT","classic","pooling",0.7857,0
"12","281","OCCURRENCE","classic","pooling",0.5,0
"13","281","IMPACT","area","center",0.0957,0.5501
"14","281","OCCURRENCE","area","center",0.0505,0.9946
"15","281","IMPACT","area","centertogrid",0.1664,0.0431
"16","281","OCCURRENCE","area","centertogrid",0.1989,0.0086
"17","281","IMPACT","area","reachedgrid",0.1693,4e-04
"18","281","OCCURRENCE","area","reachedgrid",0.1774,0.0016
"19","281","IMPACT","area","weighted",0.0212,0.0062
"20","281","OCCURRENCE","area","weighted",0.0108,0.7154
"21","281","IMPACT","area","pooling",0.498,0
"22","281","OCCURRENCE","area","pooling",0.6047,0
"23","281","IMPACT","center","centertogrid",0.2143,0.0599
"24","281","OCCURRENCE","center","centertogrid",0.2,0.0917
"25","281","IMPACT","center","reachedgrid",0.2218,0.0179
"26","281","OCCURRENCE","center","reachedgrid",0.1808,0.0651
"27","281","IMPACT","center","weighted",0.0745,0.8319
"28","281","OCCURRENCE","center","weighted",0.0437,0.9993
"29","281","IMPACT","center","pooling",0.5041,0
"30","281","OCCURRENCE","center","pooling",0.6282,0
"31","281","IMPACT","centertogrid","reachedgrid",0.0532,0.9992
"32","281","OCCURRENCE","centertogrid","reachedgrid",0.0646,0.7235
"33","281","IMPACT","centertogrid","weighted",0.1826,0.0188
"34","281","OCCURRENCE","centertogrid","weighted",0.2062,0.0052
"35","281","IMPACT","centertogrid","pooling",0.5714,0
"36","281","OCCURRENCE","centertogrid","pooling",0.6857,0
"37","281","IMPACT","reachedgrid","weighted",0.1901,0
"38","281","OCCURRENCE","reachedgrid","weighted",0.1698,0.0023
"39","281","IMPACT","reachedgrid","pooling",0.5789,0
"40","281","OCCURRENCE","reachedgrid","pooling",0.7094,0
"41","281","IMPACT","weighted","pooling",0.5157,0
"42","281","OCCURRENCE","weighted","pooling",0.6151,0
"43","282","IMPACT","classic","area",0.2025,0.0058
"44","282","OCCURRENCE","classic","area",0.3075,0
"45","282","IMPACT","classic","center",0.2083,0.0622
"46","282","OCCURRENCE","classic","center",0.3194,7e-04
"47","282","IMPACT","classic","centertogrid",0.0694,0.7481
"48","282","OCCURRENCE","classic","centertogrid",0.0972,0.5058
"49","282","IMPACT","classic","reachedgrid",0.0814,0.8985
"50","282","OCCURRENCE","classic","reachedgrid",0.1291,0.1481
"51","282","IMPACT","classic","weighted",0.2306,9e-04
"52","282","OCCURRENCE","classic","weighted",0.2992,0
"53","282","IMPACT","classic","pooling",0.5278,0
"54","282","OCCURRENCE","classic","pooling",0.5972,0
"55","282","IMPACT","area","center",0.1071,0.3872
"56","282","OCCURRENCE","area","center",0.0729,0.8459
"57","282","IMPACT","area","centertogrid",0.2237,0.0016
"58","282","OCCURRENCE","area","centertogrid",0.2103,0.0038
"59","282","IMPACT","area","reachedgrid",0.1733,2e-04
"60","282","OCCURRENCE","area","reachedgrid",0.1784,0.0016
"61","282","IMPACT","area","weighted",0.0336,0
"62","282","OCCURRENCE","area","weighted",0.0156,0.2343
"63","282","IMPACT","area","pooling",0.5968,0
"64","282","OCCURRENCE","area","pooling",0.7618,0
"65","282","IMPACT","center","centertogrid",0.2083,0.0643
"66","282","OCCURRENCE","center","centertogrid",0.2222,0.0404
"67","282","IMPACT","center","reachedgrid",0.2171,0.0189
"68","282","OCCURRENCE","center","reachedgrid",0.1903,0.045
"69","282","IMPACT","center","weighted",0.083,0.7037
"70","282","OCCURRENCE","center","weighted",0.0574,0.9714
"71","282","IMPACT","center","pooling",0.5384,0
"72","282","OCCURRENCE","center","pooling",0.7361,0
"73","282","IMPACT","centertogrid","reachedgrid",0.0814,0.8985
"74","282","OCCURRENCE","centertogrid","reachedgrid",0.0319,0.9676
"75","282","IMPACT","centertogrid","weighted",0.1954,0.0082
"76","282","OCCURRENCE","centertogrid","weighted",0.2019,0.0056
"77","282","IMPACT","centertogrid","pooling",0.5694,0
"78","282","OCCURRENCE","centertogrid","pooling",0.6944,0
"79","282","IMPACT","reachedgrid","weighted",0.167,3e-04
"80","282","OCCURRENCE","reachedgrid","weighted",0.17,0.0026
"81","282","IMPACT","reachedgrid","pooling",0.519,0
"82","282","OCCURRENCE","reachedgrid","pooling",0.687,0
"83","282","IMPACT","weighted","pooling",0.5654,0
"84","282","OCCURRENCE","weighted","pooling",0.7485,0
"85","283","IMPACT","classic","area",0.2494,3e-04
"86","283","OCCURRENCE","classic","area",0.4405,0
"87","283","IMPACT","classic","center",0.25,0.0136
"88","283","OCCURRENCE","classic","center",0.4167,0
"89","283","IMPACT","classic","centertogrid",0.1041,0.3163
"90","283","OCCURRENCE","classic","centertogrid",0.1944,0.0336
"91","283","IMPACT","classic","reachedgrid",0.1229,0.4425
"92","283","OCCURRENCE","classic","reachedgrid",0.2263,0.0025
"93","283","IMPACT","classic","weighted",0.2571,1e-04
"94","283","OCCURRENCE","classic","weighted",0.4378,0
"95","283","IMPACT","classic","pooling",0.6111,0
"96","283","OCCURRENCE","classic","pooling",0.5278,0
"97","283","IMPACT","area","center",0.105,0.4111
"98","283","OCCURRENCE","area","center",0.099,0.4915
"99","283","IMPACT","area","centertogrid",0.2163,0.0028
"100","283","OCCURRENCE","area","centertogrid",0.246,4e-04
"101","283","IMPACT","area","reachedgrid",0.154,0.0012
"102","283","OCCURRENCE","area","reachedgrid",0.2141,1e-04
"103","283","IMPACT","area","weighted",0.0395,0
